,count,mean,std,min,25%,50%,75%,max
fr_phenol,1001.0,0.17782217782217782,0.726875266017253,0.0,0.0,0.0,0.0,8.0
fr_phenol_noOrthoHbond,1001.0,0.17782217782217782,0.726875266017253,0.0,0.0,0.0,0.0,8.0
fr_phos_acid,1001.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fr_phos_ester,1001.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fr_piperdine,1001.0,0.06493506493506493,0.2697762420585267,0.0,0.0,0.0,0.0,2.0
fr_piperzine,1001.0,0.017982017982017984,0.21834908673114178,0.0,0.0,0.0,0.0,6.0
fr_priamide,1001.0,0.023976023976023976,0.1530508916164013,0.0,0.0,0.0,0.0,1.0
fr_prisulfonamd,1001.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fr_pyridine,1001.0,0.029970029970029972,0.17058985638337087,0.0,0.0,0.0,0.0,1.0
fr_quatN,1001.0,0.054945054945054944,0.30327878590172114,0.0,0.0,0.0,0.0,4.0
fr_sulfide,1001.0,0.053946053946053944,0.25901141497415336,0.0,0.0,0.0,0.0,2.0
fr_sulfonamd,1001.0,0.011988011988011988,0.10888592129446238,0.0,0.0,0.0,0.0,1.0
fr_sulfone,1001.0,0.008991008991008992,0.09444088584443136,0.0,0.0,0.0,0.0,1.0
fr_term_acetylene,1001.0,0.000999000999000999,0.0316069770620507,0.0,0.0,0.0,0.0,1.0
fr_tetrazole,1001.0,0.000999000999000999,0.0316069770620507,0.0,0.0,0.0,0.0,1.0
fr_thiazole,1001.0,0.05194805194805195,0.22203310856424388,0.0,0.0,0.0,0.0,1.0
fr_thiocyan,1001.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fr_thiophene,1001.0,0.06993006993006994,0.25515660897749665,0.0,0.0,0.0,0.0,1.0
fr_unbrch_alkane,1001.0,0.2047952047952048,1.21532587523552,0.0,0.0,0.0,0.0,20.0
fr_urea,1001.0,0.006993006993006993,0.08337295095562439,0.0,0.0,0.0,0.0,1.0
